"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""48657320""","=""court_the_gr8""","=""17993531420629120""","=""Thank you guys so so so so so so MUCH!!!!!!!! THE LOVE IS SO REAL!!!!! God is soooooooooo good!🥰🥰🥰🥰🥰🥰🥰🥰🥰""","=""https://www.instagram.com/court_the_gr8""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/368694655_1038843717248145_4007862648008196995_n.jpg""","=""5/6/2024, 9:52:41 PM"""
"=""144312954""","=""chiefconnector""","=""17997438434376288""","=""Congratulations 👏👏❤️‍🔥❤️‍🔥""","=""https://www.instagram.com/chiefconnector""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/445581205_1086687202629823_6214502372757702721_n.jpg""","=""5/6/2024, 9:54:02 PM"""
"=""9717252247""","=""wanderlust_b.kim""","=""18433251007057625""","=""Love it💕 Congratulations 💐🎉🎈👏🏽""","=""https://www.instagram.com/wanderlust_b.kim""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/91566478_2906240162794574_6610489722684833792_n.jpg""","=""5/6/2024, 9:55:01 PM"""
"=""2320897565""","=""northern_mb""","=""17850801144164396""","=""I love you mamas! You’re an over achiever & taking all life has to offer. U make excellent decisions and are brave enough to cut off the rest! Blessed ❤️""","=""https://www.instagram.com/northern_mb""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/412002141_1552393432244945_1192568325840022412_n.jpg""","=""5/6/2024, 10:21:28 PM"""
"=""23235074542""","=""comingfromamerika""","=""17992997765638133""","=""😍😍😍 Congrats bby!!!!""","=""https://www.instagram.com/comingfromamerika""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/131485165_853115982107998_3398920281999777127_n.jpg""","=""5/6/2024, 10:28:12 PM"""
"=""65578619239""","=""topflightdigitalwealthboss""","=""17900116847912606""","=""Congrats queen 😍""","=""https://www.instagram.com/topflightdigitalwealthboss""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/442494399_7487046794707464_4358452323566354938_n.jpg""","=""5/6/2024, 10:35:41 PM"""
"=""589171784""","=""sexiity85""","=""18034483210927186""","=""🙌Congrats 🎈🎉🎊🍾""","=""https://www.instagram.com/sexiity85""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/336573537_1320167432178333_8284175346249772846_n.jpg""","=""5/6/2024, 10:41:49 PM"""
"=""17370797""","=""ydeloatch""","=""17922289799905941""","=""Congratulation Courtney🙌👏""","=""https://www.instagram.com/ydeloatch""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/127300413_496393967936953_9057171355783040266_n.jpg""","=""5/6/2024, 10:42:40 PM"""
"=""52239744""","=""72969""","=""18118099285368705""","=""Congratulations 🎉🎊""","=""https://www.instagram.com/72969""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/11327826_394518140742099_1573718981_a.jpg""","=""5/6/2024, 10:47:00 PM"""
"=""6344024""","=""ka_trina""","=""18434279476007900""","=""@ri_ahmazingggg never 😂😂""","=""https://www.instagram.com/ka_trina""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/321518517_524669292804275_6694914235281345916_n.jpg""","=""5/6/2024, 11:15:20 PM"""
"=""48657320""","=""court_the_gr8""","=""18431529349019868""","=""@ka_trina @ri_ahmazingggg y’all are hilarious!!!!! Got me over here blushing ☺️""","=""https://www.instagram.com/court_the_gr8""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/368694655_1038843717248145_4007862648008196995_n.jpg""","=""5/6/2024, 11:25:38 PM"""
