"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""31208517510""","=""kyliecliftonvocalist_kcv""","=""17845494410548081""","=""Thank you Tanya! ❤️""","=""https://www.instagram.com/kyliecliftonvocalist_kcv""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/84097584_203531214055887_6605363228245491712_n.jpg""","=""3/15/2021, 11:38:36 AM"""
"=""3657138277""","=""marjsusan""","=""18123445798175067""","=""Change is coming""","=""https://www.instagram.com/marjsusan""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/30593206_577778775953981_102114921931603968_n.jpg""","=""3/15/2021, 12:03:54 PM"""
"=""3494052282""","=""dorinatbestoftimeswurstoftimes""","=""18091861021245540""","=""Wish you were leading us❤️People are desperate for decency in politics❤️""","=""https://www.instagram.com/dorinatbestoftimeswurstoftimes""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/431988821_1146108599628471_8290167077639945733_n.jpg""","=""3/15/2021, 12:04:45 PM"""
"=""358011150""","=""red_rain_93""","=""17898788710855623""","=""Wish i could’ve gone, but had really bad pain 😪""","=""https://www.instagram.com/red_rain_93""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/13767438_1640888952891158_378483279_a.jpg""","=""3/15/2021, 12:05:21 PM"""
"=""2283933051""","=""speedymove.com.au""","=""17850434270525745""","=""Enough 👏""","=""https://www.instagram.com/speedymove.com.au""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/91939200_158399922103550_2386361955112714240_n.jpg""","=""3/15/2021, 12:23:13 PM"""
"=""871912235""","=""sara_duniya""","=""17948179279418423""","=""My former Member and my current Member of Parliament together! Nice.""","=""https://www.instagram.com/sara_duniya""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/392728044_342690668313384_3968343281355348503_n.jpg""","=""3/15/2021, 12:25:11 PM"""
"=""2230281047""","=""dydie1406""","=""17902306369796347""","=""Thank you Tanya for delivering the petitions""","=""https://www.instagram.com/dydie1406""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/361967992_727322592406211_298511848404442867_n.jpg""","=""3/15/2021, 12:28:44 PM"""
"=""1425895316""","=""penjones56""","=""17932528243496012""","=""Bless you Tanya! One day you will lead us 👏""","=""https://www.instagram.com/penjones56""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/185085347_470859214122545_3963709018253720078_n.jpg""","=""3/15/2021, 12:31:56 PM"""
"=""182610644""","=""allainem""","=""17859443720465296""","=""Thank you for attending ❤️""","=""https://www.instagram.com/allainem""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/345046497_768771987974411_353791344634239081_n.jpg""","=""3/15/2021, 12:35:23 PM"""
"=""670296682""","=""smockpockets""","=""17895726136841774""","=""✊🏽✊🏽✊🏽""","=""https://www.instagram.com/smockpockets""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/265267586_889715715071549_947512263237684904_n.jpg""","=""3/15/2021, 12:35:24 PM"""
"=""295516390""","=""msnowie""","=""18152233384139416""","=""So important for all women. Thank you Tanya. ❤️""","=""https://www.instagram.com/msnowie""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/11375144_151030401899614_1295041757_a.jpg""","=""3/15/2021, 12:37:11 PM"""
"=""1478868501""","=""nicole.ellis""","=""17889831706954319""","=""Proud Australian person today""","=""https://www.instagram.com/nicole.ellis""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/324555225_1507108106449116_3594170007291905121_n.jpg""","=""3/15/2021, 12:40:18 PM"""
"=""55996228""","=""christinehawkins""","=""17908002475702304""","=""❤️""","=""https://www.instagram.com/christinehawkins""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/418889324_741825194504907_3677229446322482618_n.jpg""","=""3/15/2021, 12:55:51 PM"""
"=""6007896861""","=""leet_kay""","=""18192749413066451""","=""This is only the start. The elitist boys club has to go. Women and diversity must be where all decisions are made across all areas of society. 🙌""","=""https://www.instagram.com/leet_kay""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/273398181_366932608156424_1727976277482124823_n.jpg""","=""3/15/2021, 12:58:58 PM"""
"=""2158294626""","=""teddxg""","=""17894852944869298""","=""""""vibrant liberal democracy"""".
""""It is good and right, Mr Speaker, that so many are able to gather here in this way, whether in our capital or elsewhere, and to do so peacefully to express their concerns and their very genuine and real frustrations, —Not far from here, such marches, even now, are being met with bullets. But not here in this country.""","=""https://www.instagram.com/teddxg""","=""https://scontent-ist1-2.cdninstagram.com/v/t51.2885-19/252904246_922626718688037_6443125678445876715_n.jpg""","=""3/15/2021, 1:22:16 PM"""
